user_if_view: {"1":20547614,"0":50999}
user_action_day: {"3":13717842,"2":3798138,"1":3082633}
user_view_day: {"3":13660773,"2":3765111,"1":3121730,"0":50999}
user_buy_day: {"0":11046540,"1":7481594,"2":1693710,"3":376769}
user_follow_day: {"0":15322713,"1":3239264,"2":1229933,"3":806703}
user_remark_day: {"0":15688233,"1":3803840,"2":911620,"3":194920}
user_cart_day: {"0":20598613}
user_view_ratio: {"100":6938694,"99":2968731,"98":2637665,"97":1855689,"96":1188846,"95":913132,"94":710051,"93":536347,"92":508742,"91":378490,"90":313489,"88":214088,"87":162918,"85":147070,"89":144314,"83":132500,"80":95332,"86":83238,"75":76950,"70":56292,"84":53332,"66":52831,"0":50999,"81":42931,"82":37513,"78":32453,"50":30586,"76":30578,"77":27688,"72":22345,"71":21665,"60":17006,"79":12802,"73":12015,"62":9277,"74":7459,"64":5901,"33":5627,"57":5594,"63":5501,"68":4631,"69":4338,"55":4126,"61":3777,"25":3500,"58":3400,"54":2652,"40":2042,"67":1815,"42":1717,"52":1440,"20":1326,"46":1302,"56":1270,"53":1211,"59":1186,"37":1066,"44":995,"16":863,"45":834,"14":678,"26":614,"7":588,"28":586,"47":575,"48":565,"41":523,"35":351,"30":324,"6":311,"11":304,"31":301,"23":298,"65":288,"12":282,"10":233,"5":226,"22":211,"27":207,"36":205,"51":204,"38":179,"43":116,"9":82,"15":64,"29":63,"13":36,"18":27}
user_buy_ratio: {"0":14360684,"1":2055328,"2":1165759,"3":616583,"4":493521,"5":374092,"6":219000,"7":201840,"9":139545,"8":136442,"10":120634,"11":107833,"12":98217,"14":87983,"16":82603,"20":65219,"25":50358,"33":32787,"13":30443,"18":23012,"15":19878,"100":19748,"50":15493,"17":11713,"21":10618,"22":9319,"28":7658,"23":6402,"19":3915,"40":3900,"30":3223,"27":2960,"37":2257,"26":2175,"42":1918,"29":1766,"36":1545,"41":1400,"35":1276,"31":1275,"44":1214,"45":975,"24":965,"66":922,"38":519,"60":510,"75":379,"46":369,"34":361,"52":284,"43":272,"57":269,"47":244,"55":116,"80":112,"71":102,"83":97,"54":84,"90":81,"85":74,"70":73,"58":70,"53":64,"62":52,"69":36,"87":30,"76":16,"88":1}
user_follow_ratio: {"0":17068790,"1":831290,"2":640432,"6":398800,"5":351273,"3":294297,"4":224300,"7":128117,"11":98691,"8":94461,"9":64932,"10":51638,"12":49060,"28":48932,"14":32855,"13":31246,"16":26485,"20":19498,"15":18304,"23":17813,"26":11152,"17":11090,"25":10833,"33":8080,"18":7618,"22":7110,"21":5509,"19":5364,"27":4892,"24":4781,"30":4736,"35":3240,"40":2833,"32":2788,"34":2414,"36":2371,"50":1676,"31":1346,"37":1060,"100":1055,"29":945,"45":910,"42":908,"38":589,"88":587,"44":563,"43":518,"39":488,"47":392,"41":350,"46":305,"60":147,"87":129,"66":121,"53":118,"75":113,"80":57,"69":53,"48":46,"83":42,"71":26,"62":23,"85":21}
user_remark_ratio: {"0":18116060,"1":988007,"2":585593,"3":245332,"4":139826,"5":98578,"6":60672,"7":57000,"8":42653,"12":31319,"100":29520,"9":29204,"11":24281,"10":23767,"16":14378,"14":13319,"20":10112,"50":8811,"13":7856,"25":7352,"33":6947,"15":5923,"22":4398,"18":3440,"28":3247,"21":2785,"66":2769,"26":2603,"40":2308,"17":2159,"23":1974,"75":1789,"27":1741,"19":1678,"71":1549,"30":1488,"24":1343,"60":1229,"80":1057,"38":1046,"31":1007,"42":1004,"37":911,"29":782,"35":780,"53":726,"62":718,"83":643,"44":636,"85":529,"57":516,"73":470,"55":404,"36":334,"68":301,"47":293,"90":266,"58":264,"76":250,"94":226,"61":219,"87":200,"93":197,"54":197,"48":196,"88":181,"77":173,"45":161,"63":152,"72":133,"43":108,"92":107,"70":101,"46":100,"56":67,"41":50,"86":36,"64":35,"81":27}
user_cart_ratio: {"0":20598613}
user_buy/view: {"0":14258111,"1":1993047,"2":1206824,"3":647482,"4":467790,"5":352857,"6":226718,"7":194249,"8":129762,"10":129646,"9":121475,"11":109268,"12":107275,"14":94766,"16":94249,"20":85025,"25":70590,"33":53775,"50":33889,"15":29539,"13":20221,"100":17745,"18":15950,"22":15791,"-100":13906,"28":9663,"21":9473,"23":9165,"40":8686,"26":7795,"30":5512,"17":5341,"27":5071,"19":4169,"66":3756,"-200":2500,"42":2382,"37":2081,"60":2073,"24":1857,"75":1502,"41":1459,"35":1415,"-300":1413,"80":1283,"38":1241,"71":1213,"-400":1174,"36":1125,"31":1102,"200":1040,"57":887,"83":861,"58":837,"44":810,"45":808,"34":676,"54":668,"32":625,"55":597,"46":570,"-500":553,"73":497,"62":483,"70":461,"39":441,"68":409,"150":388,"300":360,"87":299,"133":285,"29":285,"43":277,"77":272,"111":235,"-700":194,"125":158,"85":146,"-1200":144,"225":144,"-600":140,"-800":134,"88":131,"400":129,"-1100":121,"81":121,"90":113,"250":100,"500":99,"900":81,"-900":81,"600":74,"233":73,"140":70,"116":64,"166":52,"120":50,"110":49,"227":36,"61":36,"700":30,"333":16,"-2000":1,"800":1}
user_buy/follow: {"0":11046540,"-100":4005164,"-200":1110990,"100":609049,"-400":595119,"-300":562639,"150":337486,"50":306665,"-500":250398,"-1400":200689,"20":157985,"-600":144086,"200":127727,"33":125469,"26":109367,"66":80957,"3":74562,"11":67941,"5":67546,"25":52176,"2":45034,"13":33686,"-800":33662,"400":32369,"125":31061,"37":29462,"14":29307,"6":28631,"300":28504,"16":25954,"-700":25352,"500":20818,"120":20454,"175":16821,"80":16727,"40":14289,"9":13194,"-1100":11865,"12":9504,"10":9485,"75":8497,"1":8061,"18":7577,"133":6939,"86":6791,"-900":6272,"58":5477,"4":4719,"22":4408,"28":4105,"107":3302,"-1000":3212,"-1600":2717,"250":2688,"700":2603,"7":2108,"1000":1920,"57":1191,"8":1025,"60":1006,"600":950,"166":878,"-1200":673,"44":529,"-1800":468,"-1300":409,"240":361,"54":292,"21":204,"266":186,"450":144,"350":114,"-2500":36,"-2000":17}
user_buy/remark: {"0":11046540,"-100":3966571,"-200":1127001,"100":678251,"50":562872,"-600":488914,"-400":372141,"-300":364605,"-500":238031,"25":233827,"400":210330,"1400":158455,"200":150044,"150":110147,"300":105855,"350":104605,"33":97586,"11":54525,"66":49176,"-1400":45536,"75":40076,"40":35358,"42":33686,"-800":33662,"80":33498,"-700":28761,"250":21980,"600":19976,"233":16129,"27":14521,"28":14024,"60":13976,"20":13654,"21":12473,"-1100":11652,"16":11205,"71":9254,"166":9106,"133":8411,"-1300":7200,"45":6893,"500":6007,"700":5477,"-900":5307,"-1000":5132,"36":4278,"14":4244,"-1600":2717,"4":1129,"450":1093,"-1200":673,"-1800":468,"1200":361,"10":325,"122":213,"266":186,"7":173,"12":156,"57":64,"-2500":36,"125":34,"-2000":17,"225":16}
user_buy/cart: {"0":11046540,"-100":5305797,"-200":1509302,"-300":741071,"-400":691690,"-600":570542,"-500":304677,"-1400":203991,"-700":154972,"-800":33848,"-1100":11865,"-1300":7200,"-1000":6430,"-900":6416,"-1600":2717,"-1200":1034,"-1800":468,"-2500":36,"-2000":17}
user_cate_view_amt: {"591":287832,"5":287755,"7":282385,"6":281711,"8":280541,"9":277927,"4":272707,"10":269449,"697":266255,"11":258374,"3":258098,"12":243505,"13":234574,"1":230289,"2":229370,"14":225907,"16":218033,"15":217081,"17":207959,"18":195995,"19":192590,"21":182401,"20":168801,"607":168508,"24":167616,"23":166591,"22":159087,"556":158395,"33":156078,"25":150551,"26":148846,"223":148046,"611":144399,"28":142455,"29":138725,"439":137640,"27":136890,"32":134146,"30":133498,"31":128241,"35":123601,"468":119021,"34":118236,"54":112543,"41":111957,"43":111909,"60":111452,"385":111222,"42":104916,"386":104325,"65":104307,"39":102854,"40":102648,"38":102537,"37":102485,"844":101761,"285":101671,"44":98908,"36":97180,"51":96824,"149":94414,"77":94212,"128":94201,"61":92893,"45":92360,"64":91649,"372":89102,"429":88803,"49":88047,"164":86245,"48":84835,"66":84386,"57":83988,"407":83521,"81":83012,"122":82850,"46":82191,"236":79204,"225":78518,"196":78181,"383":78120,"322":77283,"214":77082,"75":76959,"55":76218,"72":75872,"102":75434,"519":73984,"106":73515,"131":73329,"47":72776,"280":72680,"59":71605,"185":70281,"80":70190,"332":69960,"207":69926,"194":69908,"359":69696,"271":69169,"99":68989,"71":68492,"173":67240,"93":67170,"78":66779,"82":65854,"351":64515,"0":64453,"58":64436,"265":64219,"376":63252,"53":62660,"201":62024,"218":61555,"62":60868,"50":60541,"161":60413,"101":60300,"84":60101,"345":60024,"240":59156,"187":58476,"103":58080,"104":57875,"137":57848,"355":57840,"150":57537,"153":57424,"111":56842,"174":56813,"73":56584,"94":56391,"113":56355,"143":55745,"69":55454,"107":54587,"309":54522,"335":54520,"313":54285,"52":53830,"286":53361,"336":53361,"92":53351,"133":53305,"74":53271,"96":53179,"56":53034,"114":53009,"89":52989,"297":52668,"79":52512,"88":52507,"121":51576,"182":51220,"105":50655,"292":50625,"85":50333,"123":50324,"311":50176,"95":50037,"189":49466,"157":49197,"226":49106,"126":49090,"289":48841,"112":48112,"83":47888,"267":47742,"76":47203,"216":46850,"270":46656,"212":46579,"233":46550,"367":46225,"146":46080,"117":45793,"279":45780,"98":45497,"120":44724,"127":44453,"281":44100,"135":44079,"86":43953,"90":43948,"191":43663,"68":43523,"119":42339,"229":42173,"237":42025,"91":41912,"67":41705,"124":41269,"162":41212,"136":40384,"140":40209,"256":39800,"206":39621,"132":39494,"243":38809,"159":38266,"222":37635,"129":37314,"166":36932,"228":36672,"63":36259,"170":35911,"100":35776,"147":35704,"183":35462,"110":35423,"316":35344,"211":34969,"115":34902,"144":34751,"312":34692,"253":34596,"180":34315,"134":33550,"241":33489,"188":33137,"181":32553,"204":32031,"139":31744,"70":31038,"244":30976,"148":30804,"175":30396,"108":29906,"125":29144,"249":28900,"116":28648,"310":28561,"198":27889,"200":27722,"97":27665,"224":27555,"141":27408,"154":27083,"130":26872,"118":26694,"138":26244,"254":25921,"203":25920,"195":24964,"197":24905,"87":24237,"145":24109,"264":23868,"169":22900,"184":22201,"263":22201,"255":21904,"199":20736,"205":20590,"220":20449,"291":19881,"178":18768,"177":18632,"156":18496,"250":18225,"192":17161,"209":16384,"158":15876,"202":15625,"151":14989,"168":14641,"261":13689,"109":12881,"160":12769,"163":12100,"167":11130,"215":11025,"296":10816,"155":9118,"165":8648,"152":7569,"190":7225,"258":5329}
user_cate_buy_amt: {"0":11829934,"1":4938042,"2":1298086,"3":676858,"4":627690,"6":546641,"5":283864,"14":203873,"7":164892,"8":10573,"12":7447,"10":4439,"9":3981,"11":2240,"25":36,"20":17}
user_cate_follow_amt: {"0":15681390,"1":1748589,"2":859421,"4":494217,"3":248864,"6":241507,"8":184126,"33":144399,"29":141210,"9":141163,"5":136185,"26":112399,"30":73984,"7":58968,"18":54756,"68":44944,"20":38505,"14":30973,"10":29747,"12":27053,"16":20750,"17":19157,"15":16364,"11":16000,"19":13856,"13":12750,"22":4511,"21":1600,"23":1225}
user_cate_remark_amt: {"0":16192962,"1":1882232,"2":946829,"5":511013,"3":463669,"4":425369,"9":57633,"7":46031,"6":32408,"14":12964,"16":11664,"11":7575,"8":5204,"15":841,"12":601,"18":561,"10":488,"19":361,"13":208}
user_cate_cart_amt: {"0":20598613}
user_cate_buy/view: {"0":14881423,"1":1768158,"2":1034050,"3":573953,"4":377268,"5":351606,"6":200612,"7":190370,"11":116573,"8":115137,"9":108761,"12":107407,"10":106345,"16":99104,"14":97593,"20":93778,"25":82672,"33":68698,"50":44946,"100":26274,"13":20624,"15":17307,"18":16503,"22":14447,"28":8989,"21":8246,"40":6805,"17":6140,"66":5048,"30":4907,"27":4703,"26":4202,"23":3725,"42":2832,"60":2644,"19":2614,"37":2566,"75":1679,"80":1508,"44":1467,"36":1347,"57":1204,"200":1105,"41":1053,"45":845,"71":774,"31":762,"150":741,"29":711,"35":686,"34":676,"32":625,"83":575,"54":529,"46":511,"300":470,"55":432,"133":366,"70":345,"68":342,"63":324,"62":283,"81":253,"85":247,"58":225,"43":225,"250":190,"87":185,"125":165,"38":81,"900":81,"88":81,"600":74,"233":73,"166":53,"140":49,"77":49,"110":49,"400":47,"227":36,"500":30,"333":16,"111":9,"700":3,"266":1,"800":1}
user_cate_follow/view: {"0":17287590,"1":687138,"2":510888,"6":408462,"5":355245,"3":331275,"4":191326,"8":106333,"7":89531,"9":57505,"11":54693,"12":53072,"35":47354,"10":44471,"14":41605,"13":40403,"16":32604,"20":31677,"15":26961,"33":25971,"25":20913,"50":13106,"17":12360,"21":12234,"18":11891,"23":9732,"30":8430,"100":7870,"19":6800,"22":6290,"28":6235,"32":4345,"37":4316,"53":3935,"27":3820,"40":3781,"24":3772,"55":3633,"66":3482,"42":3215,"57":2966,"60":2114,"47":2048,"36":1858,"75":1759,"26":1693,"31":1289,"46":1027,"80":869,"44":868,"29":824,"38":612,"83":555,"52":529,"59":484,"1200":480,"76":400,"62":361,"34":361,"85":350,"45":334,"87":297,"68":289,"64":289,"90":269,"200":256,"78":240,"300":203,"71":134,"63":121,"77":81,"800":81,"54":64,"400":61,"140":56,"166":42,"125":25,"500":25,"133":20,"150":15}
user_cate_remark/view: {"0":18459543,"1":962582,"2":436383,"3":193468,"4":114195,"5":87849,"6":56558,"7":39870,"8":29931,"10":29585,"11":28245,"9":25352,"12":14447,"14":13787,"20":11311,"100":10933,"16":10332,"25":9509,"33":7823,"50":6797,"15":6445,"13":5664,"18":3629,"19":2707,"200":2548,"22":2462,"28":2026,"300":1982,"23":1979,"17":1851,"30":1528,"27":1517,"66":1488,"40":1318,"35":1145,"400":1004,"53":924,"42":807,"150":611,"62":602,"60":550,"37":543,"36":442,"125":389,"600":386,"57":381,"1900":361,"46":361,"133":358,"80":330,"250":330,"44":316,"55":313,"21":296,"500":284,"75":270,"31":240,"29":225,"1200":192,"38":150,"166":135,"43":132,"350":130,"700":128,"41":121,"120":121,"114":121,"800":81,"175":56,"233":49,"71":49,"83":36}
user_cate_cart/view: {"0":20598613}
user_cate/all_view: {"100":6271379,"99":3051516,"98":1560969,"97":1339262,"96":742404,"93":531640,"95":517810,"94":356748,"90":354588,"92":282005,"85":245338,"91":179113,"83":178440,"89":167842,"75":166548,"88":165011,"87":159701,"80":149280,"50":146282,"86":140072,"66":129675,"81":124192,"84":116571,"78":110717,"72":104594,"76":100128,"77":94767,"60":89557,"82":81835,"33":80789,"68":78192,"71":75609,"70":74660,"79":73671,"40":72564,"73":72081,"63":69497,"57":68906,"0":67796,"42":65776,"52":63728,"62":62950,"56":62232,"58":62196,"65":58316,"25":51021,"69":50125,"54":49482,"20":47715,"61":47067,"45":46560,"59":46288,"46":46175,"64":45830,"51":45552,"55":45518,"28":44744,"44":44726,"38":44587,"47":43818,"53":43763,"74":43150,"41":39101,"35":38453,"43":38050,"48":37954,"37":37410,"30":37004,"27":36477,"23":35441,"26":35090,"16":32534,"14":32331,"22":31626,"18":29778,"36":29476,"32":28616,"67":28378,"34":28323,"11":28047,"31":27421,"29":27356,"13":26997,"10":25538,"12":25022,"21":24427,"15":23206,"8":22911,"9":22277,"39":21997,"6":21799,"5":21633,"4":21197,"7":20975,"24":19968,"19":18704,"17":17777,"3":16708,"2":14470,"49":11045,"1":10028}
user_cate/all_buy: {"0":11829934,"100":8320839,"50":202346,"33":43748,"66":42812,"75":37208,"83":17662,"25":16672,"87":16559,"80":15340,"20":8480,"92":6450,"60":5855,"40":5324,"12":4822,"27":3197,"62":2739,"16":2573,"54":2376,"71":1725,"72":1634,"18":1351,"57":1140,"42":1044,"28":872,"11":843,"70":676,"90":662,"14":383,"85":370,"36":360,"63":345,"91":342,"22":328,"69":209,"10":201,"44":196,"30":187,"37":182,"45":168,"6":104,"7":94,"23":76,"77":63,"55":60,"9":43,"8":19}
user_cate/all_follow: {"0":15681390,"100":4274522,"96":137640,"90":93929,"50":82030,"66":57564,"86":44944,"33":22451,"75":17627,"20":14561,"77":14302,"60":13746,"80":12337,"85":9706,"37":8334,"63":8137,"46":7945,"40":7534,"72":7056,"55":6250,"83":5955,"25":5841,"70":5308,"11":5305,"12":5093,"94":4474,"22":4058,"16":3881,"41":3570,"91":3422,"95":3420,"57":3295,"38":2703,"42":1891,"15":1567,"28":1534,"71":1214,"9":1105,"8":1084,"53":1073,"44":1013,"14":885,"30":725,"87":703,"17":675,"18":662,"31":608,"10":531,"4":528,"36":526,"7":494,"6":461,"5":456,"47":448,"23":413,"52":240,"29":216,"58":210,"62":196,"2":176,"27":144,"26":128,"43":112,"19":106,"1":84,"3":46,"13":29}
user_cate/all_remark: {"0":16192962,"100":3836593,"50":168948,"25":85259,"66":85064,"62":51420,"42":48290,"33":29443,"73":12432,"60":12130,"88":11664,"83":11323,"75":8684,"40":5154,"85":4816,"72":4309,"9":4267,"20":4019,"80":3423,"12":3292,"77":2571,"16":2028,"71":1518,"58":950,"90":642,"57":622,"39":561,"28":442,"81":362,"95":361,"21":357,"14":300,"63":294,"87":293,"4":277,"70":240,"8":239,"82":238,"37":217,"30":204,"26":192,"76":168,"45":155,"78":154,"38":143,"13":141,"10":138,"47":136,"91":121,"54":117,"41":111,"11":103,"31":102,"6":90,"18":84,"44":76,"27":70,"36":60,"7":40,"22":40,"23":39,"55":36,"2":36,"15":28,"5":16,"17":9}
user_cate/all_cart: {"0":20598613}
user_shop_view_amt: {"1":4991298,"2":2682129,"3":1832111,"4":1370188,"5":1083038,"6":888399,"7":760712,"8":667250,"9":590231,"10":477231,"11":424677,"12":388429,"13":314230,"14":303141,"16":268060,"15":231945,"17":201302,"18":196342,"19":192728,"20":157962,"22":151476,"21":147393,"24":136260,"23":115767,"28":109646,"25":108596,"31":100185,"26":99807,"27":98476,"0":95998,"29":84270,"30":77398,"32":69263,"34":67319,"33":57876,"41":57805,"35":57781,"37":55604,"60":44740,"49":44736,"36":44251,"39":41168,"44":40801,"43":40189,"40":35628,"42":30744,"47":29922,"38":29073,"50":28491,"46":28428,"45":27559,"141":24635,"68":23858,"78":23796,"55":23792,"54":19747,"79":17996,"56":17159,"51":16465,"175":15950,"48":15226,"99":15123,"58":14961,"53":14364,"92":14056,"67":13730,"106":13179,"64":13010,"73":11742,"62":11268,"112":11235,"100":10732,"107":8932,"57":8818,"61":8551,"83":7490,"59":6556,"63":6283,"108":5460,"75":4788,"70":3993,"74":3772,"96":3220,"69":2409,"65":2365,"52":2166,"134":1450,"82":1242,"89":600,"119":441}
user_shop_buy_amt: {"0":19035581,"1":1059919,"2":257563,"3":112653,"4":55479,"5":30078,"6":22729,"7":6938,"9":4746,"11":4489,"10":2357,"13":2137,"8":1824,"14":1736,"12":361,"20":17,"24":6}
user_shop_follow_amt: {"0":19486097,"1":707954,"2":165074,"3":94043,"4":51749,"5":28914,"10":26423,"15":12017,"6":8915,"8":5705,"7":4997,"13":2400,"12":1850,"18":945,"16":893,"9":450,"11":187}
user_shop_remark_amt: {"0":20042419,"1":372022,"2":113898,"3":23543,"5":20509,"4":10648,"7":5878,"6":4683,"12":1899,"11":915,"20":672,"8":631,"19":289,"13":221,"14":196,"10":100,"9":90}
user_shop_cart_amt: {"0":20598613}
